project,model,source_grounded_concepts,components,connections,guided_views,visual_check,diagnostics,overflow_viewports,min_node_text_px
codex-archify-experiment,muse-spark-1.3,21,10,9,3,pass,0,0,6
codex-archify-experiment,mimo-v2.5,21,9,10,3,pass,0,0,6
codex-archify-experiment,nemotron-3.5-lightning,21,8,7,0,pass,0,0,6
codex-archify-experiment,nemotron-3-ultra,21,11,11,0,not-run,0,,
hai-mcp,baseline,37,10,10,3,pass,0,0,6
hai-mcp,opus,37,12,12,3,pass,0,0,6
hai-mcp,mimo,37,10,9,3,pass,0,0,6
hai-mcp,muse,37,10,11,3,pass,0,0,6
hai-mcp,minimax,37,12,11,0,pass,0,0,6
hai-mcp,haiku,37,10,9,0,pass,0,0,6
hai-mcp,nemoultra,37,13,15,3,not-run,0,,
hai-mcp,composed,37,13,13,3,fail,3,2,6
hai-tiktok,opus,54,12,11,3,pass,0,0,6
hai-tiktok,mimo-v2.5,54,9,7,3,pass,0,0,6
hai-tiktok,muse-spark-1.2,54,11,13,3,pass,0,0,6
hai-tiktok,ling-3.0-flash-fin,54,11,12,2,fail,6,4,6
hai-tiktok,muse-spark-1.3,54,11,12,4,fail,6,4,6
hai-tiktok,nemotron-3-ultra,54,11,11,0,not-run,0,,
hai-tiktok,nemotron-3.5-lightning,54,10,11,0,not-run,0,,
